time_ms,price,equity,lp_value,fees,phase
1775203200000,79.92275328333953,200.0,-0.0,0.0,Paused
1775206800000,79.79500465226192,200.0,-0.0,0.0,Paused
1775210400000,79.95472238465284,200.0,-0.0,0.0,Paused
1775214000000,80.14680571208245,200.0,-0.0,0.0,Paused
1775217600000,80.14680571208245,200.0,-0.0,0.0,Paused
1775221200000,79.34949032728929,200.0,-0.0,0.0,Paused
1775224800000,79.60376446658402,200.0,-0.0,0.0,Paused
1775228400000,80.27511756267488,200.0,-0.0,0.0,Paused
1775232000000,80.3393505007438,200.0,-0.0,0.0,Paused
1775235600000,80.59679663071663,200.0,-0.0,0.0,Paused
1775239200000,80.21093598014102,200.0,-0.0,0.0,Paused
1775242800000,80.11475980815922,200.0,-0.0,0.0,Paused
1775246400000,80.1788644343673,200.0,-0.0,0.0,Paused
1775250000000,80.21093598014102,200.0,-0.0,0.0,Paused
1775253600000,80.43579628937465,200.0,-0.0,0.0,Paused
1775257200000,80.1788644343673,200.0,-0.0,0.0,Paused
1775260800000,80.37148624094412,200.0,-0.0,0.0,Paused
1775264400000,80.21093598014102,200.0,-0.0,0.0,Paused
1775268000000,80.11475980815922,200.0,-0.0,0.0,Paused
1775271600000,80.14680571208245,200.0,-0.0,0.0,Paused
1775275200000,80.1788644343673,200.0,-0.0,0.0,Paused
1775278800000,80.27511756267488,200.0,-0.0,0.0,Paused
1775282400000,80.1788644343673,200.0,-0.0,0.0,Paused
1775286000000,80.50015779613355,200.0,-0.0,0.0,Paused
1775289600000,80.30722760969994,200.0,-0.0,0.0,Paused
1775293200000,79.95472238465284,200.0,-0.0,0.0,Paused
1775296800000,80.01869895531615,200.0,-0.0,0.0,Paused
1775300400000,80.21093598014102,200.0,-0.0,0.0,Paused
1775304000000,80.1788644343673,200.0,-0.0,0.0,Paused
1775307600000,80.05070643489827,200.0,-0.0,0.0,Paused
1775311200000,80.05070643489827,200.0,-0.0,0.0,Paused
1775314800000,80.30722760969994,200.0,-0.0,0.0,Paused
1775318400000,81.08173378648179,200.0,-0.0,0.0,Paused
1775322000000,80.75811923044489,200.0,-0.0,0.0,Paused
1775325600000,80.91976473359203,200.0,-0.0,0.0,Paused
1775329200000,80.8227386471283,200.0,-0.0,0.0,Paused
1775332800000,80.85506774258718,200.0,-0.0,0.0,Paused
1775336400000,80.79042247813709,200.0,-0.0,0.0,Paused
1775340000000,80.91976473359203,200.0,-0.0,0.0,Paused
1775343600000,80.98451349254125,200.0,-0.0,0.0,Paused
1775347200000,80.8227386471283,200.0,-0.0,0.0,Paused
1775350800000,80.66128696350863,200.0,-0.0,0.0,Paused
1775354400000,80.50015779613355,200.0,-0.0,0.0,Paused
1775358000000,80.56457080239569,200.0,-0.0,0.0,Paused
1775361600000,80.50015779613355,200.0,-0.0,0.0,Paused
1775365200000,80.3393505007438,200.0,-0.0,0.0,Paused
1775368800000,80.24302035453306,200.0,-0.0,0.0,Paused
1775372400000,79.63560597237066,200.0,-0.0,0.0,Paused
1775376000000,79.57193569230711,200.0,-0.0,0.0,Paused
1775379600000,79.60376446658402,200.0,-0.0,0.0,Paused
1775383200000,79.8269226541228,200.0,-0.0,0.0,Paused
1775386800000,79.8269226541228,200.0,-0.0,0.0,Paused
1775390400000,79.89079696455372,200.0,-0.0,0.0,Paused
1775394000000,79.00118905008503,200.0,-0.0,0.0,Paused
1775397600000,79.19098160781078,200.0,-0.0,0.0,Paused
1775401200000,79.28604880247953,200.0,-0.0,0.0,Paused
1775404800000,79.54011964444936,200.0,-0.0,0.0,Paused
1775408400000,79.44474780851573,200.0,-0.0,0.0,Paused
1775412000000,79.89079696455372,200.0,-0.0,0.0,Paused
1775415600000,79.92275328333953,200.0,-0.0,0.0,Paused
1775419200000,79.8269226541228,200.0,-0.0,0.0,Paused
1775422800000,80.11475980815922,200.0,-0.0,0.0,Paused
1775426400000,79.6993271988455,200.0,-0.0,0.0,Paused
1775430000000,80.56457080239569,200.0,-0.0,0.0,Paused
1775433600000,81.86370952529094,200.0,-0.0,0.0,Paused
1775437200000,82.32334014343967,200.0,-0.0,0.0,Paused
